"DATA SOURCE: US Census Bureau QuickFacts, https://www.census.gov/quickfacts/fact/table/US/PST045218",,,,,,,,,
City,State,2018 Population,Population Change (2010-2018 est) - weighted 40%,In Civilian Labor Force - weighted 10%,Median Household Income - weighted 10%,Persons Without Health Insurance - weighted 15%,Median Commute Time - weighted 15%,Percent in Poverty - weighted 10%,WEIGHTED Z-SCORE
Camarillo,California,"69,127",6.10%,63.70%,"$92,780.00",6.20%,24.2,6.90%,0.299793309
Santee,California,"58,115",8.80%,66.10%,"$81,430.00",7.10%,26.7,6.80%,0.301492319
Gaithersburg,Maryland,"68,289",14.00%,73.70%,"$85,773.00",12.40%,33.1,9.50%,0.304191425
Dunwoody,Georgia,"49,459",6.90%,70.50%,"$87,252.00",8.30%,26,7.90%,0.305368876
Peachtree Corners,Georgia,"43,509",14.50%,72.30%,"$66,905.00",14.70%,27.5,8.90%,0.31015724
Colorado Springs,Colorado,"472,688",13.20%,64.20%,"$58,158.00",10.00%,21.8,12.80%,0.310336933
Portage,Michigan,"49,216",6.30%,67.40%,"$60,260.00",6.70%,19.4,8.90%,0.312628767
Mankato,Minnesota,"42,610",6.90%,71.60%,"$45,035.00",4.30%,15.5,24.50%,0.312873485
Charleston,South Carolina,"136,208",13.00%,67.20%,"$61,367.00",10.90%,22.1,14.60%,0.314925103
Coral Gables,Florida,"50,999",9.10%,61.30%,"$96,887.00",8.70%,24.3,7.50%,0.315079792
Royal Oak,Michigan,"59,461",3.90%,73.90%,"$74,140.00",5.50%,24.4,7.00%,0.317131644
Beverly,Massachusetts,"42,312",7.10%,67.70%,"$77,893.00",2.80%,27.4,8.30%,0.323144646
Boulder,Colorado,"107,353",9.90%,66.60%,"$64,183.00",5.80%,19.1,21.60%,0.327839763
Methuen,Massachusetts,"50,698",7.10%,72.30%,"$73,492.00",3.50%,28.2,9.40%,0.32824999
Ames,Iowa,"67,154",13.70%,64.10%,"$42,755.00",4.90%,16.4,29.30%,0.331732162
Sparks,Nevada,"104,246",14.50%,67.10%,"$58,120.00",13.70%,21.8,11.10%,0.332517751
Hoover,Alabama,"85,108",5.60%,69.80%,"$81,038.00",7.40%,23.1,6.50%,0.333759563
Longmont,Colorado,"96,577",11.90%,70.30%,"$66,349.00",10.50%,24.2,12.00%,0.334825369
Elmhurst,Illinois,"46,558",5.50%,66.80%,"$104,222.00",4.00%,29.5,3.80%,0.335146552
Manteca,California,"81,592",21.30%,61.90%,"$68,019.00",7.30%,35.5,11.80%,0.336857465
Woburn,Massachusetts,"40,397",3.90%,70.80%,"$83,304.00",2.80%,26.2,6.00%,0.340125639
Plano,Texas,"288,061",10.90%,70.10%,"$88,578.00",12.50%,26.5,7.00%,0.342671408
Oakley,California,"42,129",18.90%,66.80%,"$89,392.00",7.00%,40.9,7.50%,0.343499596
Missouri City,Texas,"74,705",12.30%,70.50%,"$88,896.00",11.40%,30.4,5.60%,0.34515773
Elk Grove,California,"172,886",13.00%,64.40%,"$85,556.00",5.50%,31.1,9.00%,0.345653333
Cedar Rapids,Iowa,"133,174",5.30%,70.60%,"$56,828.00",5.80%,17.6,11.40%,0.353967204
Marysville,Washington,"69,779",16.30%,66.10%,"$72,734.00",9.20%,30.7,9.00%,0.354502613
Somerville,Massachusetts,"81,562",7.80%,77.60%,"$84,722.00",4.00%,31.6,12.40%,0.354876577
Cheyenne,Wyoming,"63,957",7.40%,65.90%,"$60,878.00",10.30%,14,10.70%,0.358869464
Missoula,Montana,"74,428",11.40%,70.80%,"$43,602.00",10.10%,15.8,19.80%,0.359669906
Hoboken,New Jersey,"53,455",6.90%,79.60%,"$127,523.00",4.20%,39.4,10.40%,0.360878333
Grand Forks,North Dakota,"56,948",7.60%,71.20%,"$48,241.00",8.40%,13.1,19.70%,0.362239746
Germantown,Tennessee,"39,099",0.70%,62.60%,"$113,392.00",3.00%,21.8,3.20%,0.363397695
St. George,Utah,"87,178",19.80%,56.80%,"$54,022.00",17.60%,15,15.50%,0.363440024
Hendersonville,Tennessee,"57,576",12.20%,71.10%,"$65,918.00",10.70%,26.3,6.40%,0.364517135
Cedar Falls,Iowa,"41,048",4.60%,71.00%,"$58,855.00",5.10%,13.7,19.40%,0.367802973
Rockville,Maryland,"68,268",11.40%,70.60%,"$100,436.00",8.70%,32,7.20%,0.373001953
Campbell,California,"42,466",4.70%,71.70%,"$108,498.00",7.00%,26.2,7.00%,0.377990401
Charlotte,North Carolina,"872,498",18.60%,71.90%,"$58,202.00",15.60%,25.3,14.90%,0.378447917
Alexandria,Virginia,"160,530",14.70%,76.90%,"$93,370.00",14.70%,31.8,10.50%,0.380757431
Chandler,Arizona,"257,165",8.90%,71.80%,"$77,278.00",8.80%,24,9.10%,0.381559873
Wellington,Florida,"65,200",15.00%,65.30%,"$85,172.00",11.30%,27.7,7.90%,0.386968704
Columbia,Missouri,"123,180",13.00%,67.30%,"$47,236.00",7.50%,16.5,22.90%,0.387301741
Carlsbad,California,"115,877",10.00%,64.20%,"$102,722.00",6.60%,28,6.60%,0.390333215
Lincoln,Nebraska,"287,401",11.10%,71.20%,"$53,089.00",10.00%,18.3,15.10%,0.39122565
San Ramon,California,"75,839",6.20%,69.00%,"$142,718.00",2.90%,37.2,4.20%,0.39128865
Johns Creek,Georgia,"84,310",10.00%,69.40%,"$113,609.00",7.30%,33.3,4.60%,0.393117656
Beavercreek,Ohio,"47,391",4.90%,61.50%,"$88,456.00",4.30%,19.4,5.10%,0.395433443
Durham,North Carolina,"274,291",19.30%,69.50%,"$54,284.00",15.10%,22.5,17.40%,0.402786887
Summerville,South Carolina,"51,692",20.60%,65.20%,"$57,825.00",11.10%,29.3,10.40%,0.402865349
Greenville,South Carolina,"68,563",15.90%,67.40%,"$48,984.00",13.80%,17.5,15.30%,0.40803881
San Mateo,California,"105,025",8.00%,70.60%,"$103,399.00",6.80%,27.8,8.00%,0.409773666
Delaware,Ohio,"39,930",14.90%,68.20%,"$62,154.00",7.10%,28,9.40%,0.410246214
Tigard,Oregon,"54,758",13.60%,69.70%,"$70,120.00",11.00%,24.2,10.40%,0.410879642
Lake Oswego,Oregon,"39,532",7.50%,64.10%,"$93,993.00",4.70%,24.4,5.60%,0.412300934
Goose Creek,South Carolina,"42,841",17.60%,60.90%,"$64,204.00",9.60%,24.6,10.20%,0.412732493
Wauwatosa,Wisconsin,"48,376",4.20%,69.80%,"$74,929.00",3.80%,20.3,7.10%,0.412944936
Loveland,Colorado,"77,446",15.80%,64.50%,"$61,133.00",9.80%,24.3,8.70%,0.413504349
Raleigh,North Carolina,"469,298",16.10%,71.10%,"$61,505.00",13.00%,23.4,14.00%,0.414626739
Palm Beach Gardens,Florida,"56,284",14.60%,58.50%,"$77,864.00",11.10%,21.4,6.20%,0.416615281
Brighton,Colorado,"41,254",21.90%,66.00%,"$67,024.00",14.00%,29.6,10.90%,0.417372217
Tempe,Arizona,"192,364",18.90%,69.10%,"$51,829.00",13.00%,20.9,21.30%,0.419068916
Broken Arrow,Oklahoma,"109,171",10.50%,70.40%,"$70,788.00",11.40%,20.7,7.60%,0.426331562
Odessa,Texas,"120,568",20.70%,69.70%,"$61,541.00",22.30%,20.4,11.80%,0.4286748
Moore,Oklahoma,"62,103",12.70%,72.00%,"$62,347.00",11.00%,22.8,9.50%,0.42886405
Sandy,Utah,"96,901",7.70%,69.30%,"$87,012.00",8.50%,22.3,5.60%,0.433324778
Cupertino,California,"60,170",2.70%,61.90%,"$153,449.00",2.50%,28.1,4.70%,0.434192903
Auburn,Alabama,"65,738",23.00%,57.60%,"$42,600.00",6.60%,19.7,29.40%,0.434582609
Shawnee,Kansas,"65,845",5.80%,73.40%,"$81,964.00",7.30%,21.3,6.90%,0.450376126
Thornton,Colorado,"139,436",17.40%,73.70%,"$73,517.00",12.80%,30.2,8.50%,0.452744136
Pasco,Washington,"74,778",20.30%,68.70%,"$59,969.00",16.30%,21.6,16.50%,0.455505662
Washington,District of Columbia,"702,455",16.70%,68.90%,"$77,649.00",5.20%,30,17.40%,0.457582693
Madison,Wisconsin,"258,054",10.70%,72.10%,"$59,387.00",5.80%,19.4,18.30%,0.459657067
Concord,North Carolina,"94,130",18.70%,70.10%,"$60,238.00",11.00%,27.4,11.90%,0.459724209
Lacey,Washington,"50,718",19.10%,58.80%,"$64,631.00",7.30%,26,9.80%,0.461800385
Novi,Michigan,"60,951",10.40%,68.10%,"$88,667.00",5.90%,26.9,5.70%,0.464981542
Lee's Summit,Missouri,"98,461",7.80%,70.30%,"$83,601.00",5.20%,24.5,5.50%,0.466325797
Newark,California,"48,198",13.20%,66.00%,"$96,817.00",6.20%,30.2,6.30%,0.468295428
Sandy Springs,Georgia,"108,797",16.00%,73.50%,"$70,920.00",13.10%,25.5,11.20%,0.469193489
College Station,Texas,"116,218",23.30%,59.90%,"$39,430.00",9.60%,15.7,31.80%,0.469268574
Eagan,Minnesota,"66,527",3.70%,77.20%,"$84,756.00",3.80%,23.9,6.60%,0.473712925
Denver,Colorado,"716,492",19.50%,71.00%,"$60,098.00",12.80%,25.3,15.10%,0.47425094
Moorhead,Minnesota,"43,349",9.90%,70.10%,"$56,516.00",6.40%,16.4,15.90%,0.476046097
Lake Forest,California,"85,623",10.60%,71.30%,"$96,963.00",9.40%,26,7.40%,0.476647572
West Jordan,Utah,"116,046",12.00%,74.30%,"$72,083.00",11.00%,24,7.50%,0.477575345
Brentwood,California,"63,800",23.60%,62.80%,"$96,945.00",4.00%,43.9,7.70%,0.479532415
Royal Palm Beach,Florida,"40,018",17.00%,68.70%,"$73,296.00",11.20%,27.7,6.50%,0.483912082
Rowlett,Texas,"66,285",17.90%,72.50%,"$90,391.00",13.70%,31.7,6.70%,0.485912871
Arvada,Colorado,"120,492",12.90%,70.20%,"$75,640.00",6.80%,27.3,6.90%,0.486208863
Newton,Massachusetts,"88,904",4.50%,65.80%,"$133,853.00",2.00%,28.4,4.30%,0.487924629
Austin,Texas,"964,254",20.20%,73.30%,"$63,717.00",16.50%,24.1,15.40%,0.48801517
Folsom,California,"79,022",9.50%,60.60%,"$106,718.00",3.10%,25.7,5.00%,0.498553901
Danville,California,"44,650",6.70%,62.60%,"$152,798.00",2.40%,32.3,3.30%,0.499924511
Boca Raton,Florida,"99,244",17.60%,60.20%,"$76,218.00",11.90%,21.4,8.40%,0.501515294
Pleasant Grove,Utah,"38,428",14.50%,70.00%,"$66,881.00",10.50%,21.4,11.90%,0.502781341
Gilroy,California,"58,756",20.20%,70.60%,"$86,742.00",9.30%,34.2,11.90%,0.507113609
Fremont,California,"237,807",11.10%,66.70%,"$122,191.00",3.70%,33.6,4.90%,0.507490889
Jupiter,Florida,"65,524",18.50%,63.90%,"$79,731.00",14.20%,23.2,8.20%,0.508719693
Eastvale,California,"64,822",20.70%,69.70%,"$110,685.00",7.60%,42.1,7.20%,0.510422222
St. Charles,Missouri,"399,182",10.70%,70.90%,"$78,380.00",6.20%,25.5,5.30%,0.51070262
St. Peters,Missouri,"57,127",8.70%,73.00%,"$73,604.00",5.50%,24.2,4.20%,0.515806285
Livermore,California,"90,269",10.90%,70.40%,"$109,084.00",5.00%,31.6,4.80%,0.523755962
Littleton,Colorado,"48,007",15.30%,69.60%,"$71,315.00",9.30%,25.2,7.50%,0.529403661
Palo Alto,California,"66,666",3.50%,63.80%,"$147,537.00",3.50%,24.2,6.00%,0.530104362
Apopka,Florida,"53,489",26.90%,67.40%,"$59,869.00",15.50%,30.6,10.60%,0.532420988
Rockwall,Texas,"45,112",20.10%,67.50%,"$92,665.00",11.10%,32.7,6.50%,0.536366022
Indian Trail,North Carolina,"39,619",18.00%,73.10%,"$76,438.00",9.70%,30.9,8.40%,0.539989724
Edmond,Oklahoma,"93,127",14.80%,66.70%,"$76,008.00",8.70%,22.3,10.20%,0.542358036
Redwood City,California,"86,200",12.20%,71.10%,"$99,026.00",8.70%,25.3,9.20%,0.556187369
Minnetonka,Minnesota,"53,953",8.50%,68.90%,"$86,672.00",4.10%,22.7,5.00%,0.563812018
Richardson,Texas,"120,981",21.90%,67.70%,"$76,719.00",16.30%,24.8,10.20%,0.564611711
Roseville,California,"139,117",16.80%,63.60%,"$81,119.00",6.60%,25.8,8.90%,0.564771771
Conroe,Texas,"87,654",34.30%,65.20%,"$54,258.00",23.40%,28.4,13.40%,0.56589308
Layton,Utah,"77,303",14.50%,69.80%,"$71,883.00",9.20%,22.7,7.40%,0.575051702
Fort Collins,Colorado,"167,830",15.90%,69.90%,"$60,110.00",7.70%,19.6,17.00%,0.579929215
Clovis,California,"112,022",16.90%,65.10%,"$68,682.00",7.70%,21.3,12.70%,0.582097692
St. Louis Park,Minnesota,"49,039",8.50%,76.70%,"$71,346.00",6.10%,21.3,7.10%,0.585981285
Henderson,Nevada,"310,390",20.70%,62.30%,"$66,939.00",10.50%,23.2,9.10%,0.589728477
Centennial,Colorado,"110,831",10.10%,69.80%,"$100,770.00",5.50%,25.8,4.30%,0.592319342
Kirkland,Washington,"89,557",11.10%,70.90%,"$104,319.00",5.40%,27.5,6.50%,0.595015609
Coppell,Texas,"41,818",8.20%,73.60%,"$119,936.00",8.20%,25.4,4.20%,0.614064541
Cambridge,Massachusetts,"118,977",13.10%,69.40%,"$89,145.00",2.60%,25.5,13.50%,0.615745627
Apple Valley,Minnesota,"54,121",10.20%,74.60%,"$85,181.00",5.00%,24.9,6.50%,0.61644252
O'Fallon,Missouri,"88,472",11.30%,74.10%,"$84,580.00",5.50%,26.5,4.30%,0.617740386
Bothell,Washington,"46,657",17.00%,69.60%,"$89,477.00",6.70%,30.5,5.90%,0.620087783
Aliso Viejo,California,"51,783",7.70%,76.30%,"$106,353.00",5.50%,26.3,4.60%,0.620584681
Spanish Fork,Utah,"39,961",15.00%,67.20%,"$70,780.00",7.90%,21.3,6.80%,0.622267164
Rochester,Minnesota,"116,961",9.50%,71.20%,"$68,574.00",5.70%,16.2,10.40%,0.622838517
Plainfield,Illinois,"44,138",10.70%,76.90%,"$121,746.00",3.20%,36.5,2.50%,0.626791757
Scottsdale,Arizona,"255,310",17.40%,62.50%,"$80,306.00",7.80%,22.1,8.90%,0.631243611
Westerville,Ohio,"40,387",11.30%,68.10%,"$86,466.00",5.20%,21.5,6.80%,0.634594488
Edina,Minnesota,"52,490",9.40%,63.50%,"$96,477.00",2.90%,20.8,4.70%,0.63471714
Alpharetta,Georgia,"66,255",15.50%,69.90%,"$98,489.00",8.00%,27.7,7.00%,0.636978666
Rogers,Arkansas,"67,600",20.70%,68.60%,"$54,172.00",15.90%,16.4,12.40%,0.638534201
Morgan Hill,California,"45,135",19.10%,67.40%,"$107,161.00",5.90%,34.6,6.60%,0.644445785
Olathe,Kansas,"139,605",10.90%,75.10%,"$82,649.00",9.10%,20.8,6.10%,0.646852571
Overland Park,Kansas,"192,536",11.10%,71.30%,"$78,217.00",6.50%,20.4,5.80%,0.651451053
Eden Prairie,Minnesota,"64,334",5.80%,73.50%,"$103,426.00",2.50%,22.7,5.20%,0.654390245
Wylie,Texas,"51,585",23.80%,74.20%,"$88,450.00",14.20%,33.9,6.40%,0.656602401
Minot,North Dakota,"47,370",15.30%,71.40%,"$63,133.00",9.90%,18.6,9.40%,0.65775327
Goodyear,Arizona,"82,835",26.90%,57.70%,"$77,930.00",9.90%,29,8.70%,0.658962447
Sunnyvale,California,"153,185",9.40%,70.10%,"$118,314.00",5.40%,24.4,6.60%,0.661527763
Santa Clara,California,"129,488",11.20%,68.50%,"$108,609.00",5.30%,23.6,7.70%,0.668151329
Hillsboro,Oregon,"108,389",17.50%,71.10%,"$75,599.00",9.00%,23.4,10.80%,0.670010446
Grapevine,Texas,"53,976",16.50%,76.30%,"$83,675.00",13.20%,23.6,8.10%,0.676000615
Collierville,Tennessee,"50,616",11.00%,67.60%,"$113,957.00",4.20%,25.4,4.70%,0.686631457
Smyrna,Tennessee,"50,775",25.70%,72.50%,"$58,302.00",11.30%,29.2,11.80%,0.695933245
Richland,Washington,"57,303",19.10%,64.10%,"$71,025.00",8.80%,19.5,9.90%,0.709830089
Grove City,Ohio,"41,625",16.90%,69.10%,"$68,907.00",5.80%,23.3,6.40%,0.721820722
Rocklin,California,"67,221",17.70%,67.50%,"$91,995.00",6.50%,26.2,7.00%,0.72670844
The Colony,Texas,"43,402",19.50%,78.60%,"$76,613.00",10.70%,29.4,6.30%,0.727080008
Blaine,Minnesota,"65,212",14.00%,74.20%,"$80,423.00",3.90%,26.4,5.50%,0.729574822
Bellevue,Washington,"147,599",15.40%,66.30%,"$105,402.00",7.10%,23.4,7.40%,0.734953965
Shakopee,Minnesota,"41,362",11.60%,77.30%,"$84,400.00",5.40%,23.3,6.40%,0.742680137
San Marcos,Texas,"63,509",40.70%,66.40%,"$34,748.00",19.10%,22.1,34.70%,0.753887479
Marion,Iowa,"39,979",13.70%,71.70%,"$69,882.00",5.20%,19.5,7.20%,0.75683064
Plymouth,Minnesota,"79,450",12.60%,72.00%,"$91,867.00",4.00%,23.5,5.20%,0.769373369
Gilbert,Arizona,"248,279",19.10%,70.80%,"$87,566.00",6.90%,27.7,5.90%,0.777416554
Draper,Utah,"48,319",14.30%,67.60%,"$110,270.00",6.70%,23.2,5.30%,0.778551083
Pleasanton,California,"82,372",17.20%,65.90%,"$138,269.00",3.20%,34.2,4.30%,0.795452884
Lenexa,Kansas,"55,294",14.70%,73.20%,"$81,173.00",8.30%,20.1,5.40%,0.795995417
Winter Garden,Florida,"45,266",30.20%,68.00%,"$66,349.00",14.20%,28,10.10%,0.800634848
Beaumont,California,"49,241",33.60%,60.20%,"$71,664.00",8.20%,33.5,11.80%,0.808248555
Riverton,Utah,"44,419",14.40%,73.70%,"$92,154.00",6.20%,23.9,4.20%,0.810836716
Ocoee,Florida,"47,720",33.60%,69.70%,"$66,035.00",17.50%,29,12.40%,0.814956369
Oviedo,Florida,"41,557",24.20%,68.10%,"$84,916.00",8.40%,29.1,7.00%,0.820462438
Seattle,Washington,"744,955",22.40%,72.70%,"$79,565.00",6.70%,27.5,12.50%,0.82620664
Commerce City,Colorado,"58,449",27.30%,72.20%,"$69,268.00",10.10%,29.1,12.20%,0.827486908
Mountain View,California,"83,377",12.70%,74.00%,"$120,351.00",7.20%,23,7.90%,0.83270549
Sioux Falls,South Dakota,"181,883",18.10%,74.40%,"$56,714.00",8.80%,16.9,11.10%,0.834785061
Fargo,North Dakota,"124,844",18.20%,74.80%,"$50,561.00",8.50%,15,13.90%,0.841458994
Noblesville,Indiana,"63,133",20.90%,74.20%,"$74,681.00",8.30%,26.1,6.50%,0.842033502
Burleson,Texas,"47,282",28.10%,69.30%,"$74,341.00",11.50%,30,6.30%,0.842819287
Keller,Texas,"47,350",19.50%,67.10%,"$126,013.00",7.30%,30.3,3.30%,0.855123685
Schertz,Texas,"41,057",29.10%,62.90%,"$80,112.00",10.50%,28.1,6.80%,0.867939585
Urbandale,Iowa,"43,949",11.40%,75.20%,"$85,432.00",4.50%,18.2,5.70%,0.869937953
Madison,Alabama,"50,440",16.80%,67.90%,"$92,197.00",7.10%,19.4,6.40%,0.871228103
Murfreesboro,Tennessee,"141,344",29.60%,70.80%,"$57,753.00",10.90%,25.7,15.00%,0.872541842
Midland,Texas,"142,344",28.00%,70.10%,"$75,646.00",21.20%,18.8,8.70%,0.875238699
Doral,Florida,"61,824",35.30%,68.10%,"$76,184.00",19.80%,27.3,12.80%,0.877338546
St. Cloud,Florida,"54,115",43.10%,60.30%,"$53,544.00",15.20%,32.6,14.90%,0.887061447
Milpitas,California,"80,430",20.40%,66.10%,"$110,752.00",4.60%,27.1,8.40%,0.894964915
Bismarck,North Dakota,"73,112",19.30%,70.00%,"$61,477.00",8.30%,15.2,9.50%,0.90343655
Milton,Georgia,"39,217",19.40%,68.30%,"$120,595.00",6.40%,28,5.50%,0.904102101
Woodbury,Minnesota,"71,306",15.10%,73.80%,"$103,308.00",3.90%,24.8,3.80%,0.928201796
Sammamish,Washington,"65,733",14.40%,69.20%,"$157,271.00",2.00%,32.5,2.40%,0.930266146
Maple Grove,Minnesota,"71,807",16.70%,73.80%,"$101,859.00",3.00%,26.4,4.20%,0.957029687
Mansfield,Texas,"70,981",25.80%,71.00%,"$94,035.00",8.40%,29.9,5.00%,0.971835111
Huntersville,North Carolina,"57,098",22.10%,73.50%,"$93,731.00",6.90%,27.6,4.70%,0.977897626
Allen,Texas,"103,383",22.70%,73.40%,"$104,132.00",9.10%,27.7,5.10%,0.981230096
Bend,Oregon,"97,590",27.30%,66.90%,"$60,563.00",13.60%,15.3,10.90%,0.987991083
Brentwood,Tennessee,"42,502",14.70%,65.10%,"$151,722.00",3.40%,25.1,2.90%,1.00023603
Broomfield,Colorado,"69,267",24.00%,72.10%,"$85,639.00",5.80%,27.9,5.20%,1.002695464
Carmel,Indiana,"93,510",18.10%,70.40%,"$109,201.00",3.90%,24.2,3.70%,1.025412591
League City,Texas,"106,244",27.10%,71.50%,"$100,996.00",8.10%,30.4,6.20%,1.039429727
Flower Mound,Texas,"77,329",19.60%,72.80%,"$128,426.00",4.30%,29.2,2.70%,1.077564368
West Des Moines,Iowa,"66,641",17.50%,74.70%,"$73,764.00",3.60%,17.2,6.20%,1.077806177
Round Rock,Texas,"128,739",28.70%,74.20%,"$76,295.00",10.50%,25.2,8.20%,1.084131352
Leesburg,Virginia,"53,917",26.50%,77.30%,"$105,844.00",10.10%,30.9,4.90%,1.087295925
Lakeville,Minnesota,"65,877",17.60%,79.40%,"$102,943.00",3.20%,26.1,4.50%,1.087826992
Fishers,Indiana,"93,362",20.70%,76.00%,"$101,469.00",4.30%,27.5,3.30%,1.088479812
Buckeye,Arizona,"74,370",46.20%,53.90%,"$61,469.00",10.40%,31.5,12.90%,1.105523931
Cary,North Carolina,"168,160",23.90%,71.50%,"$97,755.00",7.90%,22.7,5.60%,1.121002174
Marana,Arizona,"47,007",36.00%,60.40%,"$81,041.00",6.40%,29.8,8.20%,1.128398034
Pflugerville,Texas,"64,431",33.20%,73.20%,"$82,145.00",12.20%,27.5,6.80%,1.172794925
Dublin,Ohio,"48,647",17.60%,71.30%,"$128,916.00",1.70%,24.3,2.90%,1.173349613
Bozeman,Montana,"48,532",30.10%,73.30%,"$49,217.00",8.40%,14.6,20.50%,1.183360845
Pearland,Texas,"122,149",31.20%,71.80%,"$102,124.00",6.50%,33.1,3.80%,1.199800826
Franklin,Tennessee,"80,914",29.30%,71.00%,"$92,589.00",8.30%,24.2,7.00%,1.222516106
Irvine,California,"282,572",33.30%,64.10%,"$95,573.00",6.20%,25.1,13.20%,1.223726775
Parker,Colorado,"55,636",22.70%,77.80%,"$105,373.00",3.80%,26.8,4.40%,1.227745157
Redmond,Washington,"67,678",24.20%,71.40%,"$115,300.00",5.00%,22.9,6.00%,1.272894551
Meridian,Idaho,"106,804",38.80%,65.70%,"$64,375.00",10.10%,22.2,9.80%,1.331281321
Mount Pleasant,South Carolina,"89,338",31.70%,69.00%,"$90,454.00",6.80%,22,5.40%,1.383393411
New Braunfels,Texas,"84,612",46.70%,66.50%,"$64,208.00",16.00%,24.3,9.50%,1.433333495
Georgetown,Texas,"74,180",56.20%,48.30%,"$67,753.00",14.20%,27.8,7.40%,1.475239841
Dublin,California,"63,445",37.80%,69.20%,"$138,007.00",3.20%,39,3.60%,1.49247431
Castle Rock,Colorado,"64,827",34.30%,73.90%,"$101,122.00",3.90%,29.1,4.40%,1.508940582
Cedar Park,Texas,"76,999",39.70%,71.90%,"$96,612.00",9.60%,27.4,3.70%,1.562039945
Lehi,Utah,"66,037",38.20%,68.90%,"$85,794.00",5.50%,24.2,5.80%,1.571573925
McKinney,Texas,"191,645",46.10%,70.30%,"$87,608.00",12.20%,29.3,7.00%,1.575379688
Wentzville,Missouri,"41,164",40.20%,72.60%,"$81,809.00",4.90%,28.9,5.60%,1.583937465
Westfield,Indiana,"41,528",37.80%,74.80%,"$89,144.00",7.30%,23.8,6.70%,1.624047267
Spring Hill,Tennessee,"41,464",42.40%,73.20%,"$86,538.00",3.50%,32.3,3.10%,1.673021093
Wake Forest,North Carolina,"44,046",46.30%,69.40%,"$85,155.00",4.10%,29.1,6.20%,1.778593883
Apex,North Carolina,"53,852",43.10%,75.40%,"$100,305.00",5.20%,24.9,5.00%,1.924891503
Bentonville,Arkansas,"51,111",44.70%,69.70%,"$79,259.00",7.60%,16.2,7.30%,1.933715202
Ankeny,Iowa,"65,284",43.10%,78.70%,"$79,536.00",4.30%,21.3,6.30%,1.988926818
South Jordan,Utah,"74,149",46.90%,71.00%,"$99,856.00",5.30%,24.8,2.90%,2.014957369
Queen Creek,Arizona,"42,503",61.50%,67.00%,"$92,917.00",4.60%,33.1,7.90%,2.196228721
Kyle,Texas,"46,874",65.90%,73.10%,"$72,822.00",10.80%,34.3,6.50%,2.197704
Frisco,Texas,"188,170",60.60%,72.80%,"$120,701.00",6.80%,30.1,3.90%,2.454677991
Little Elm,Texas,"50,314",94.20%,76.80%,"$93,094.00",15.60%,35.1,6.80%,3.247656518
Leander,Texas,"56,111",105.80%,75.90%,"$89,649.00",10.50%,30.4,4.20%,3.930241241
Herriman,Utah,"44,877",106.20%,74.90%,"$94,837.00",6.80%,28,2.80%,4.125790295
Torrance,California,"145,182",Z,63.80%,"$85,070.00",7.50%,28.4,7.20%,N/A
South Gate,California,"94,443",Z,64.50%,"$47,281.00",22.40%,31.8,19.30%,N/A
Kenner,Louisiana,"66,657",Z,64.70%,"$53,336.00",19.80%,24.1,16.00%,N/A
Delano,California,"53,014",Z,50.70%,"$38,708.00",14.40%,18.5,24.40%,N/A
Romeoville,Illinois,"39,624",Z,69.80%,"$73,033.00",9.60%,31.7,6.70%,N/A
